,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
211,SC0,09/05/15,Dundee,Inverness C,0,1,A,0,1,A,D Robertson,11,4,6,2,13,20,8,8,1,2,0,0
212,SC0,09/05/15,Hamilton,Partick,1,1,D,0,0,D,S Finnie,9,6,3,4,14,10,4,4,2,0,0,0
213,SC0,09/05/15,Ross County,St Mirren,1,2,A,1,1,D,S McLean,18,7,5,2,9,11,6,5,2,1,1,0
214,SC0,09/05/15,St Johnstone,Dundee United,1,1,D,0,0,D,K Clancy,9,13,3,3,13,9,7,6,3,3,0,0
215,SC0,10/05/15,Aberdeen,Celtic,0,1,A,0,0,D,C Thomson,8,12,3,7,11,16,5,1,3,1,0,0
216,SC0,15/05/15,St Johnstone,Celtic,0,0,D,0,0,D,A Crawford,16,12,7,4,9,16,11,7,3,3,0,0
217,SC0,16/05/15,Dundee,Aberdeen,1,1,D,1,0,H,E Anderson,8,11,2,5,10,15,5,12,1,2,0,0
218,SC0,16/05/15,Inverness C,Dundee United,3,0,H,0,0,D,C Thomson,15,14,6,4,9,10,5,6,2,2,0,0
219,SC0,16/05/15,Partick,Kilmarnock,1,4,A,0,2,A,J Beaton,6,9,1,7,3,3,5,3,3,2,0,0
220,SC0,16/05/15,Ross County,Hamilton,2,1,H,0,1,A,B Madden,7,10,3,4,6,13,9,7,2,2,1,0
221,SC0,16/05/15,St Mirren,Motherwell,2,1,H,0,0,D,B Colvin,11,12,5,6,7,15,5,5,0,4,0,1
222,SC0,23/05/15,Hamilton,St Mirren,1,0,H,0,0,D,C Thomson,9,2,7,0,6,2,8,5,2,1,0,0
223,SC0,23/05/15,Kilmarnock,Ross County,1,2,A,1,0,H,E Anderson,10,16,4,9,11,6,4,7,2,0,0,0
224,SC0,23/05/15,Motherwell,Partick,0,0,D,0,0,D,S McLean,8,18,4,5,9,7,4,6,0,0,0,0
225,SC0,24/05/15,Aberdeen,St Johnstone,0,1,A,0,0,D,W Collum,9,6,7,1,12,12,13,4,1,2,0,0
226,SC0,24/05/15,Celtic,Inverness C,5,0,H,2,0,H,K Clancy,9,3,5,0,12,8,5,0,2,0,0,0
227,SC0,24/05/15,Dundee United,Dundee,3,0,H,2,0,H,B Madden,13,10,5,3,19,10,3,7,3,4,0,0
